species	name	taxid	ncbi_species	family	order	class	superclass	subphylum	phylum
ghi	Gossypium hirsutum	3635	Gossypium hirsutum	Malvaceae	Malvales	Magnoliopsida	NA	Streptophytina	Streptophyta
gma	Glycine max	3847	Glycine max	Fabaceae	Fabales	Magnoliopsida	NA	Streptophytina	Streptophyta
gra	Gossypium raimondii	29730	Gossypium raimondii	Malvaceae	Malvales	Magnoliopsida	NA	Streptophytina	Streptophyta
han	Helianthus annuus	4232	Helianthus annuus	Asteraceae	Asterales	Magnoliopsida	NA	Streptophytina	Streptophyta
hma	Hydrangea macrophylla	23110	Hydrangea macrophylla	Hydrangeaceae	Cornales	Magnoliopsida	NA	Streptophytina	Streptophyta
lal	Lupinus albus	3870	Lupinus albus	Fabaceae	Fabales	Magnoliopsida	NA	Streptophytina	Streptophyta
lja	Lotus japonicus	34305	Lotus japonicus	Fabaceae	Fabales	Magnoliopsida	NA	Streptophytina	Streptophyta
lonja	Lonicera japonica	105884	Lonicera japonica	Caprifoliaceae	Dipsacales	Magnoliopsida	NA	Streptophytina	Streptophyta
lsa	Lactuca sativa	4236	Lactuca sativa	Asteraceae	Asterales	Magnoliopsida	NA	Streptophytina	Streptophyta
mbi	Magnolia biondii	86725	Magnolia biondii	Magnoliaceae	Magnoliales	Magnoliopsida	NA	Streptophytina	Streptophyta
mco	Micromonas commoda	296587	Micromonas commoda	Mamiellaceae	Mamiellales	Mamiellophyceae	NA	NA	Chlorophyta
mdo	Malus domestica	3750	Malus domestica	Rosaceae	Rosales	Magnoliopsida	NA	Streptophytina	Streptophyta
mes	Manihot esculenta	3983	Manihot esculenta	Euphorbiaceae	Malpighiales	Magnoliopsida	NA	Streptophytina	Streptophyta
mpo	Marchantia polymorpha	3197	Marchantia polymorpha	Marchantiaceae	Marchantiales	Marchantiopsida	NA	Streptophytina	Streptophyta
mtr	Medicago truncatula	3880	Medicago truncatula	Fabaceae	Fabales	Magnoliopsida	NA	Streptophytina	Streptophyta
nnu	Nelumbo nucifera	4432	Nelumbo nucifera	Nelumbonaceae	Proteales	Magnoliopsida	NA	Streptophytina	Streptophyta
nta	Nicotiana tabacum	4097	Nicotiana tabacum	Solanaceae	Solanales	Magnoliopsida	NA	Streptophytina	Streptophyta
oeu	Olea europaea	4146	Olea europaea	Oleaceae	Lamiales	Magnoliopsida	NA	Streptophytina	Streptophyta
osa	Oryza sativa ssp. japonica	39947	Oryza sativa	Poaceae	Poales	Magnoliopsida	NA	Streptophytina	Streptophyta
pax	Petunia axillaris	33119	Petunia axillaris	Solanaceae	Solanales	Magnoliopsida	NA	Streptophytina	Streptophyta
pco	Prasinoderma coloniale	156133	Prasinoderma coloniale	Prasinodermaceae	Prasinodermales	Prasinodermophyceae	NA	NA	Prasinodermophyta
pgr	Punica granatum	22663	Punica granatum	Lythraceae	Myrtales	Magnoliopsida	NA	Streptophytina	Streptophyta
ppa	Physcomitrium patens	3218	Physcomitrium patens	Funariaceae	Funariales	Bryopsida	NA	Streptophytina	Streptophyta
ppe	Prunus persica	3760	Prunus persica	Rosaceae	Rosales	Magnoliopsida	NA	Streptophytina	Streptophyta
psa	Pisum sativum	3888	Pisum sativum	Fabaceae	Fabales	Magnoliopsida	NA	Streptophytina	Streptophyta
